,disease 1,disease 2,distance
0,acute promyelocytic leukemia,glioblastoma,3.5142886537566373
0,acute promyelocytic leukemia,glioblastoma multiforme,3.38326903208766
0,acute promyelocytic leukemia,glioma,3.31719851494148
0,acute promyelocytic leukemia,heart disease,3.475633272035545
0,acute promyelocytic leukemia,hepatic steatosis,4.323140695155602
0,acute promyelocytic leukemia,hepatoblastoma,3.658204130055441
0,acute promyelocytic leukemia,hepatocellular carcinoma,3.7834808374283084
0,acute promyelocytic leukemia,hirschsprung disease,3.880352799152536
0,acute promyelocytic leukemia,hypertension,3.5000520543219693
0,acute promyelocytic leukemia,hypertrophic cardiomyopathy,3.586881333774986
0,acute promyelocytic leukemia,hypopharyngeal squamous cell carcinoma,3.1809709924441987
0,acute promyelocytic leukemia,infantile hemangioma,3.6596715589115307
0,acute promyelocytic leukemia,intervertebral disc degeneration,3.7313781801764243
0,acute promyelocytic leukemia,leukoaraiosis,3.956287962623027
0,acute promyelocytic leukemia,liver cancer,3.2399643852324003
0,acute promyelocytic leukemia,lung adenocarcinoma,4.128641205922995
0,acute promyelocytic leukemia,lung cancer,3.6034762048297844
0,acute promyelocytic leukemia,lupus nephritis,3.735617128395691
0,acute promyelocytic leukemia,major depressive disorder,3.5281273252143626
0,acute promyelocytic leukemia,moyamoya disease,3.8818657022407206
0,acute promyelocytic leukemia,multiple sclerosis,3.4225737447100286
0,acute promyelocytic leukemia,multiple system atrophy,4.220743034668601
0,acute promyelocytic leukemia,myocardial infarction,3.517932438221091
0,acute promyelocytic leukemia,neuropathic pain,4.319602662339628
0,acute promyelocytic leukemia,nonalcoholic steatohepatitis,3.767292106491065
0,acute promyelocytic leukemia,non-small cell lung cancer,3.6019241334082412
0,acute promyelocytic leukemia,oral squamous cell carcinoma,3.2217914311166305
0,acute promyelocytic leukemia,osteoarthritis,3.8405539950891763
0,acute promyelocytic leukemia,osteosarcoma,3.5019201414895296
0,acute promyelocytic leukemia,ovarian endometriosis,3.2221666027428015
0,acute promyelocytic leukemia,pancreatic cancer,3.8493427149901196
0,acute promyelocytic leukemia,pancreatic ductal adenocarcinoma,3.520488924850179
0,acute promyelocytic leukemia,papillary thyroid carcinoma,3.4947346168144007
0,acute promyelocytic leukemia,pre-eclampsia,4.009678759134711
0,acute promyelocytic leukemia,prostate adenocarcinoma,3.2879295593768165
0,acute promyelocytic leukemia,prostate cancer,3.563587075966645
0,acute promyelocytic leukemia,pulmonary tuberculosis,3.2003527132044276
0,acute promyelocytic leukemia,rheumatoid arthritis,3.2931304569595614
0,acute promyelocytic leukemia,silicosis,3.8353027068807464
0,acute promyelocytic leukemia,systemic lupus erythematosus,3.845724751439858
0,acute promyelocytic leukemia,thoracic aortic dissection,3.16934916896498
0,acute promyelocytic leukemia,tuberculosis,3.511794004208937
0,acute promyelocytic leukemia,type 2 diabetes mellitus,4.094845867930496
0,acute respiratory distress syndrome,alzheimer's disease,4.330458109519583
0,acute respiratory distress syndrome,atherosclerosis,4.343294990817308
0,acute respiratory distress syndrome,basal cell carcinoma,4.321523165072872
0,acute respiratory distress syndrome,bladder cancer,4.017171332524014
0,acute respiratory distress syndrome,bladder urothelial carcinoma,4.1277292352995545
0,acute respiratory distress syndrome,breast cancer,4.1376759700433015
0,acute respiratory distress syndrome,cardiovascular disease,4.259859224750319
